date,Recession
04/06/2012,null
11/06/2012,null
18/06/2012,null
25/06/2012,null
02/07/2012,null
09/07/2012,null
16/07/2012,null
23/07/2012,null
30/07/2012,null
06/08/2012,null
13/08/2012,null
20/08/2012,null
27/08/2012,null
03/09/2012,null
10/09/2012,null
17/09/2012,null
24/09/2012,null
01/10/2012,null
08/10/2012,null
15/10/2012,null
22/10/2012,null
29/10/2012,null
05/11/2012,null
12/11/2012,null
19/11/2012,null
26/11/2012,null
03/12/2012,null
10/12/2012,null
17/12/2012,null
24/12/2012,null
31/12/2012,null
07/01/2013,null
14/01/2013,null
21/01/2013,null
28/01/2013,null
04/02/2013,null
11/02/2013,null
18/02/2013,null
25/02/2013,null
04/03/2013,null
11/03/2013,null
18/03/2013,null
25/03/2013,null
01/04/2013,null
08/04/2013,null
15/04/2013,null
22/04/2013,null
29/04/2013,null
06/05/2013,null
13/05/2013,null
20/05/2013,null
27/05/2013,null
03/06/2013,null
10/06/2013,null
17/06/2013,null
24/06/2013,null
01/07/2013,null
08/07/2013,null
15/07/2013,null
22/07/2013,null
29/07/2013,null
05/08/2013,null
12/08/2013,null
19/08/2013,null
26/08/2013,null
02/09/2013,null
09/09/2013,null
16/09/2013,null
23/09/2013,null
30/09/2013,null
07/10/2013,null
14/10/2013,null
21/10/2013,null
28/10/2013,null
04/11/2013,null
11/11/2013,null
18/11/2013,null
25/11/2013,null
02/12/2013,null
09/12/2013,null
16/12/2013,null
23/12/2013,null
30/12/2013,null
06/01/2014,null
13/01/2014,null
20/01/2014,null
27/01/2014,null
03/02/2014,null
10/02/2014,null
17/02/2014,null
24/02/2014,null
03/03/2014,null
10/03/2014,null
17/03/2014,null
24/03/2014,null
31/03/2014,null
07/04/2014,null
14/04/2014,null
21/04/2014,null
28/04/2014,null
05/05/2014,null
12/05/2014,null
19/05/2014,null
26/05/2014,null
02/06/2014,null
09/06/2014,null
16/06/2014,null
23/06/2014,null
30/06/2014,null
07/07/2014,null
14/07/2014,null
21/07/2014,null
28/07/2014,null
04/08/2014,null
11/08/2014,null
18/08/2014,null
25/08/2014,null
01/09/2014,null
08/09/2014,null
15/09/2014,null
22/09/2014,null
29/09/2014,null
06/10/2014,null
13/10/2014,null
20/10/2014,null
27/10/2014,null
03/11/2014,null
10/11/2014,null
17/11/2014,null
24/11/2014,null
01/12/2014,null
08/12/2014,null
15/12/2014,null
22/12/2014,null
29/12/2014,null
05/01/2015,null
12/01/2015,null
19/01/2015,null
26/01/2015,null
02/02/2015,null
09/02/2015,null
16/02/2015,null
23/02/2015,null
02/03/2015,null
09/03/2015,null
16/03/2015,null
23/03/2015,null
30/03/2015,null
06/04/2015,null
13/04/2015,null
20/04/2015,null
27/04/2015,null
04/05/2015,null
11/05/2015,null
18/05/2015,null
25/05/2015,null
01/06/2015,null
08/06/2015,null
15/06/2015,null
22/06/2015,null
29/06/2015,null
06/07/2015,null
13/07/2015,null
20/07/2015,null
27/07/2015,null
03/08/2015,null
10/08/2015,null
17/08/2015,null
24/08/2015,null
31/08/2015,null
07/09/2015,null
14/09/2015,null
21/09/2015,null
28/09/2015,null
05/10/2015,null
12/10/2015,null
19/10/2015,null
26/10/2015,null
02/11/2015,null
09/11/2015,null
16/11/2015,null
23/11/2015,null
30/11/2015,null
07/12/2015,null
14/12/2015,null
21/12/2015,null
28/12/2015,null
04/01/2016,null
11/01/2016,null
18/01/2016,null
25/01/2016,null
01/02/2016,null
08/02/2016,null
15/02/2016,null
22/02/2016,null
29/02/2016,null
07/03/2016,null
14/03/2016,null
21/03/2016,null
28/03/2016,null
04/04/2016,null
11/04/2016,null
18/04/2016,null
25/04/2016,null
02/05/2016,null
09/05/2016,null
16/05/2016,null
23/05/2016,null
30/05/2016,null
06/06/2016,null
13/06/2016,null
20/06/2016,null
27/06/2016,null
04/07/2016,null
11/07/2016,null
18/07/2016,null
25/07/2016,null
01/08/2016,null
08/08/2016,null
15/08/2016,null
22/08/2016,null
29/08/2016,null
05/09/2016,null
12/09/2016,null
19/09/2016,null
26/09/2016,null
03/10/2016,null
10/10/2016,null
17/10/2016,null
24/10/2016,null
31/10/2016,null
07/11/2016,null
14/11/2016,null
21/11/2016,null
28/11/2016,null
05/12/2016,null
12/12/2016,null
19/12/2016,null
26/12/2016,null
02/01/2017,null
09/01/2017,null
16/01/2017,null
23/01/2017,null
30/01/2017,null
06/02/2017,null
13/02/2017,null
20/02/2017,null
27/02/2017,null
06/03/2017,null
13/03/2017,null
20/03/2017,null
27/03/2017,null
03/04/2017,null
10/04/2017,null
17/04/2017,null
24/04/2017,null
01/05/2017,null
08/05/2017,null
15/05/2017,null
22/05/2017,null
29/05/2017,null
05/06/2017,null
12/06/2017,null
19/06/2017,null
26/06/2017,null
03/07/2017,null
10/07/2017,null
17/07/2017,null
24/07/2017,null
31/07/2017,null
07/08/2017,null
14/08/2017,null
21/08/2017,null
28/08/2017,null
04/09/2017,null
11/09/2017,null
18/09/2017,null
25/09/2017,null
02/10/2017,null
09/10/2017,null
16/10/2017,null
23/10/2017,null
30/10/2017,null
06/11/2017,null
13/11/2017,null
20/11/2017,null
27/11/2017,null
04/12/2017,null
11/12/2017,null
18/12/2017,null
25/12/2017,null
01/01/2018,null
08/01/2018,null
15/01/2018,null
22/01/2018,null
29/01/2018,null
05/02/2018,null
12/02/2018,null
19/02/2018,null
26/02/2018,null
05/03/2018,null
12/03/2018,null
19/03/2018,null
26/03/2018,null
02/04/2018,null
09/04/2018,null
16/04/2018,null
23/04/2018,null
30/04/2018,null
07/05/2018,null
14/05/2018,null
21/05/2018,null
28/05/2018,null
04/06/2018,null
11/06/2018,null
18/06/2018,null
25/06/2018,null
02/07/2018,null
09/07/2018,null
16/07/2018,null
23/07/2018,null
30/07/2018,null
06/08/2018,null
13/08/2018,null
20/08/2018,null
27/08/2018,null
03/09/2018,null
10/09/2018,null
17/09/2018,null
24/09/2018,null
01/10/2018,null
08/10/2018,null
15/10/2018,null
22/10/2018,null
29/10/2018,null
05/11/2018,null
12/11/2018,null
19/11/2018,null
26/11/2018,null
03/12/2018,null
10/12/2018,null
17/12/2018,null
24/12/2018,null
31/12/2018,null
07/01/2019,null
14/01/2019,null
21/01/2019,null
28/01/2019,null
04/02/2019,null
11/02/2019,null
18/02/2019,null
25/02/2019,null
04/03/2019,null
11/03/2019,null
18/03/2019,null
25/03/2019,null
01/04/2019,null
08/04/2019,null
15/04/2019,null
22/04/2019,null
29/04/2019,null
06/05/2019,null
13/05/2019,null
20/05/2019,null
27/05/2019,null
03/06/2019,null
10/06/2019,null
17/06/2019,null
24/06/2019,null
01/07/2019,null
08/07/2019,null
15/07/2019,null
22/07/2019,null
29/07/2019,null
05/08/2019,null
12/08/2019,null
19/08/2019,null
26/08/2019,null
02/09/2019,null
09/09/2019,null
16/09/2019,null
23/09/2019,null
30/09/2019,null
07/10/2019,null
14/10/2019,null
21/10/2019,null
28/10/2019,null
04/11/2019,null
11/11/2019,null
18/11/2019,null
25/11/2019,null
02/12/2019,null
09/12/2019,null
16/12/2019,null
23/12/2019,null
30/12/2019,null
06/01/2020,null
13/01/2020,null
20/01/2020,null
27/01/2020,null
03/02/2020,1
10/02/2020,1
17/02/2020,1
24/02/2020,1
02/03/2020,1
09/03/2020,1
16/03/2020,1
23/03/2020,1
30/03/2020,1
06/04/2020,1
13/04/2020,1
20/04/2020,1
27/04/2020,1
04/05/2020,null
11/05/2020,null
18/05/2020,null
25/05/2020,null
01/06/2020,null
08/06/2020,null
15/06/2020,null
22/06/2020,null
29/06/2020,null
06/07/2020,null
13/07/2020,null
20/07/2020,null
27/07/2020,null
03/08/2020,null
10/08/2020,null
17/08/2020,null
24/08/2020,null
31/08/2020,null
07/09/2020,null
14/09/2020,null
21/09/2020,null
28/09/2020,null
05/10/2020,null
12/10/2020,null
19/10/2020,null
26/10/2020,null
02/11/2020,null
09/11/2020,null
16/11/2020,null
23/11/2020,null
30/11/2020,null
07/12/2020,null
14/12/2020,null
21/12/2020,null
28/12/2020,null
04/01/2021,null
11/01/2021,null
18/01/2021,null
25/01/2021,null
01/02/2021,null
08/02/2021,null
15/02/2021,null
22/02/2021,null
01/03/2021,null
08/03/2021,null
15/03/2021,null
22/03/2021,null
29/03/2021,null
05/04/2021,null
12/04/2021,null
19/04/2021,null
26/04/2021,null
03/05/2021,null
10/05/2021,null
17/05/2021,null
24/05/2021,null
31/05/2021,null
07/06/2021,null
14/06/2021,null
21/06/2021,null
28/06/2021,null
05/07/2021,null
12/07/2021,null
19/07/2021,null
26/07/2021,null
02/08/2021,null
09/08/2021,null
16/08/2021,null
23/08/2021,null
30/08/2021,null
06/09/2021,null
13/09/2021,null
20/09/2021,null
27/09/2021,null
04/10/2021,null
11/10/2021,null
18/10/2021,null
25/10/2021,null
01/11/2021,null
08/11/2021,null
15/11/2021,null
22/11/2021,null
29/11/2021,null
06/12/2021,null
13/12/2021,null
20/12/2021,null
27/12/2021,null
03/01/2022,null
10/01/2022,null
17/01/2022,null
24/01/2022,null
31/01/2022,null
07/02/2022,null
14/02/2022,null
21/02/2022,null
28/02/2022,null
07/03/2022,null
14/03/2022,null
21/03/2022,null
28/03/2022,null
04/04/2022,null
11/04/2022,null
18/04/2022,null
25/04/2022,null
02/05/2022,null
09/05/2022,null
16/05/2022,null
23/05/2022,null
30/05/2022,null
06/06/2022,null
13/06/2022,null
20/06/2022,null
27/06/2022,null
04/07/2022,null
11/07/2022,null
18/07/2022,null
25/07/2022,null
01/08/2022,null
08/08/2022,null
15/08/2022,null
22/08/2022,null
29/08/2022,null
05/09/2022,null
12/09/2022,null
19/09/2022,null
26/09/2022,null
03/10/2022,null
10/10/2022,null
17/10/2022,null
24/10/2022,null
31/10/2022,null
07/11/2022,null
14/11/2022,null
21/11/2022,null
28/11/2022,null
05/12/2022,null
12/12/2022,null
19/12/2022,null
26/12/2022,null
02/01/2023,null
09/01/2023,null
16/01/2023,null
23/01/2023,null
30/01/2023,null
06/02/2023,null
13/02/2023,null
20/02/2023,null
27/02/2023,null
